concept_id,entity,attribute,display_name,description,data_type,aliases
absence.balance,absence,balance,Absence Balance,Available leave or absence balance for an employee.,decimal,"absence balance, leave balance, time off balance, vacation balance"
absence.end_date,absence,end_date,Absence End Date,End date of an employee absence or leave event.,date,"absence end date, leave end date, vacation end date"
absence.hours,absence,hours,Absence Hours,Number of absence hours recorded.,decimal,"absence hours, leave hours, time off hours"
absence.start_date,absence,start_date,Absence Start Date,Start date of an employee absence or leave event.,date,"absence start date, leave start date, vacation start date"
absence.type,absence,type,Absence Type,"Category of absence (vacation, sick leave)",string,"absence type, leave type, absence code, awart"
account.id,account,id,Account ID,"Stable identifier for a customer, prospect, or business account in CRM or ERP contexts.",string,"account id, account number, customer account id, crm account id, acct id"
account.industry,account,industry,Account Industry,Industry classification assigned to a business account.,string,"industry, account industry, sector, vertical, sic, naics"
account.name,account,name,Account Name,Display or legal name of the business account.,string,"account name, account legal name, customer account name, organization name"
account.owner_employee_id,account,owner_employee_id,Account Owner Employee ID,Employee or user responsible for managing the account relationship.,string,"account owner, account manager id, customer owner, sales owner id"
account.status,account,status,Account Status,Current lifecycle or activity status of the account.,string,"account status, customer status, active flag, account lifecycle status"
account.territory_id,account,territory_id,Account Territory ID,Sales territory assigned to the account.,string,"account territory, sales territory id, territory assignment"
account.type,account,type,Account Type,"Classification of the account such as prospect, customer, partner, reseller, or competitor.",string,"account type, customer type, account category, account classification"
accounting.document_currency_code,accounting,document_currency_code,Accounting Document Currency,Currency code used for accounting document amounts.,string,"document currency, accounting currency, waers"
accounting.document_number,accounting,document_number,Accounting Document Number,Identifier for an accounting document.,string,"accounting document number, financial document number, belnr"
accounting.local_currency_amount,accounting,local_currency_amount,Local Currency Amount,Amount translated into the company or ledger local currency.,decimal,"local currency amount, company code currency amount, dmbtr"
accounting.posting_date,accounting,posting_date,Posting Date,Date used to post a transaction into accounting ledgers.,date,"posting date, accounting posting date, ledger posting date, budat"
address.city,address,city,Address City,City component of a postal or physical address.,string,"address city, address locality, address town"
