concept_id,entity,attribute,display_name,description,data_type,aliases
customer.id,customer,id,Customer ID,Stable identifier for a customer record,string,"customer id, customer identifier, customer number, customer no, cust id, cust no, client id, buyer id, sold to party, sold_to_party, bill to party"
customer.name,customer,name,Customer Name,Display or legal name of the customer,string,"customer name, client name, buyer name, sold to name"
customer.email,customer,email,Customer Email,Primary customer email address,string,"customer email, client email, client mail, buyer email, contact email, customer mail, email address, e mail"
customer.phone,customer,phone,Customer Phone,Primary customer phone number,string,"customer phone, client phone, buyer phone, contact phone, phone, phone number, primary phone, primary_phone, telephone, customer telephone"
customer.address,customer,address,Customer Address,Primary customer address,string,"customer address, client address, buyer address, bill to address"
vendor.id,vendor,id,Vendor ID,Stable identifier for a vendor or supplier,string,"vendor id, vendor identifier, vendor number, supplier id, supplier number"
vendor.name,vendor,name,Vendor Name,Display or legal name of the vendor,string,"vendor name, supplier name"
vendor.email,vendor,email,Vendor Email,Primary vendor email address,string,"vendor email, supplier email"
company.id,company,id,Company ID,Stable identifier for a company or account,string,"company id, company identifier, company number, account id"
company.name,company,name,Company Name,Display or legal name of a company,string,"company name, account name, legal name"
employee.id,employee,id,Employee ID,Stable identifier for an employee,string,"employee id, worker id, personnel number, staff id"
employee.name,employee,name,Employee Name,Display name of an employee,string,"employee name, worker name, staff name"
employee.email,employee,email,Employee Email,Primary employee email address,string,"employee email, work email, corporate email"
employee.department,employee,department,Employee Department,Department or organizational unit,string,"employee department, worker department, org unit, department"
material.id,material,id,Material ID,Stable identifier for a material or item,string,"material id, material identifier, item id, product id, article id"
material.number,material,number,Material Number,ERP material number or item number,string,"material number, item number, article number, part number"
material.sku,material,sku,Material SKU,Stock keeping unit for a material or product,string,"sku, sku code, stock keeping unit, product sku, item sku"
material.name,material,name,Material Name,Display name of a material or product,string,"material name, product name, item name, article name"
invoice.number,invoice,number,Invoice Number,Business identifier for an invoice,string,"invoice number, invoice no, invoice id, bill number, inv no"
invoice.date,invoice,date,Invoice Date,Issue date of an invoice,date,"invoice date, bill date, document date"
invoice.due_date,invoice,due_date,Invoice Due Date,Due date for invoice payment,date,"due date, payment due date, invoice due date"
invoice.amount,invoice,amount,Invoice Amount,Total monetary amount on an invoice,decimal,"invoice amount, invoice total, total amount, bill amount"
invoice.currency,invoice,currency,Invoice Currency,Currency used on the invoice,string,"invoice currency, currency code, billing currency"
payment.reference,payment,reference,Payment Reference,Reference or remittance identifier for a payment,string,"payment reference, remittance reference, payment ref"
address.city,address,city,Address City,City within an address,string,"address city, city, locality, town"
address.country,address,country,Address Country,Country within an address,string,"address country, country, nation"
address.postal_code,address,postal_code,Address Postal Code,Postal or ZIP code within an address,string,"postal code, zip code, postcode, zip"
purchase_order.id,purchase_order,id,PO Number,Unique identifier for a purchase order,string,"po number, po no, purchase order number, purchase order id, purchasing document number, ebeln"
purchase_order.date,purchase_order,date,PO Date,Creation date of the purchase order,date,"po date, purchase order date, purchasing document date, bedat"
purchase_order.status,purchase_order,status,PO Status,Current lifecycle stage of the PO,string,"po status, purchase order status, purchasing status"
purchase_order.line_item,purchase_order,line_item,PO Line Item,Specific item line within a PO,integer,"po item, purchase order item, purchasing line item, ebelp"
sales_order.id,sales_order,id,Sales Order ID,Unique identifier for a sales order,string,"sales order id, sales order number, sales document number, so number, so no, vbeln"
sales_order.date,sales_order,date,Sales Order Date,Date when the sales order was created,date,"sales order date, sales document date, so date, audat"
sales_order.status,sales_order,status,Sales Order Status,Current state of the sales order,string,"sales order status, so status, fulfillment status"
delivery.id,delivery,id,Delivery ID,Identifier for a shipping or delivery document,string,"delivery id, delivery number, delivery no, shipping document number, vbeln vl, vbeln_vl"
delivery.date,delivery,date,Delivery Date,Planned or actual delivery date,date,"delivery date, ship date, goods issue date, wadat"
delivery.status,delivery,status,Delivery Status,Current state of the delivery process,string,"delivery status, shipping status, shipment status"
shipment.tracking_id,shipment,tracking_id,Tracking ID,Carrier tracking number for a shipment,string,"tracking number, tracking id, waybill, awb, airway bill"
shipment.carrier,shipment,carrier,Carrier Name,Name of the logistics provider,string,"carrier name, logistics provider, shipping company, forwarder"
bom.id,bom,id,BOM ID,Identifier for a Bill of Materials,string,"bom id, bom number, bill of materials id, stlnr"
bom.component,bom,component,BOM Component,Material or part within a BOM,string,"bom component, component material, component part, idnrk"
bom.quantity,bom,quantity,BOM Quantity,Required quantity of a component in a BOM,decimal,"bom quantity, component quantity, bom qty, menge"
work_center.id,work_center,id,Work Center ID,Identifier for a production or work station,string,"work center id, work center, production work center, arbpl"
warehouse.id,warehouse,id,Warehouse ID,Identifier for a specific warehouse or facility,string,"warehouse id, warehouse code, whse id, facility id"
stock.quantity,stock,quantity,Stock Quantity,Available quantity in inventory,decimal,"stock quantity, inventory quantity, inventory qty, stock level, on hand, available stock, labst"
stock.location,stock,location,Storage Location,Specific bin or area within a warehouse,string,"stock location, storage location, storage loc, bin location, lgort, lgpbe, shelf id"
batch.id,batch,id,Batch Number,Identifier for a specific production lot or batch,string,"batch id, batch number, batch no, lot number, production lot, charg"
gl_account.id,gl_account,id,GL Account,General Ledger account identifier,string,"gl account, gl account id, general ledger account, hkont"
cost_center.id,cost_center,id,Cost Center,Identifier for an organizational cost center,string,"cost center, cost center id, cost centre, kostl, budget center"
profit_center.id,profit_center,id,Profit Center,Identifier for a profit-generating unit,string,"profit center, profit centre, profit center id, prctr"
tax.id,tax,id,Tax ID,Tax registration number for an entity,string,"tax id, vat number, tax registration number, stceg, fiscal code"
tax.rate,tax,rate,Tax Rate,Percentage of tax applied,decimal,"tax rate, vat rate, tax percentage, tax pct"
price.unit,price,unit,Unit Price,Price per single unit of measure,decimal,"unit price, price per unit, net price, kbetr"
